아메리카노,물-250,에스프레소샷-2,얼음-150
카페라떼,우유-200,에스프레소샷-2,얼음-150
카푸치노,우유-180,에스프레소샷-2,시나몬파우더-5
바닐라라떼,우유-200,에스프레소샷-2,바닐라시럽-30
카라멜마키아또,우유-200,에스프레소샷-2,카라멜시럽-30,카라멜드리즐-10
카페모카,우유-200,에스프레소샷-2,초코소스-30,휘핑크림-30
화이트초코모카,우유-200,에스프레소샷-2,화이트초코소스-30
돌체라떼,우유-150,연유-40,에스프레소샷-2
콜드브루,물-200,콜드브루원액-60,얼음-150
콜드브루라떼,우유-200,콜드브루원액-60,얼음-150
복숭아아이스티,물-250,아이스티파우더-40,얼음-150
레몬에이드,탄산수-200,레몬청-50,얼음-150,레몬슬라이스-1
자몽에이드,탄산수-200,자몽청-50,얼음-150,로즈마리-1
청포도에이드,탄산수-200,청포도베이스-50,얼음-150
플레인요거트스무디,우유-100,요거트파우더-60,얼음-200
딸기요거트스무디,우유-100,요거트파우더-40,딸기베이스-40,얼음-200
망고스무디,물-100,망고퓨레-80,얼음-200
초코칩프라페,우유-100,초코파우더-50,초코칩-20,얼음-200,휘핑크림-30
녹차프라페,우유-100,녹차파우더-50,얼음-200,휘핑크림-30
쿠키앤크림프라페,우유-100,바닐라파우더-40,오레오쿠키-2,얼음-200
